can_dm,can_media_tag,created_at,default_profile,default_profile_image,description,description_urls,fast_followers_count,favourites_count,followers_count,following_count,has_custom_timelines,id,is_blue_verified,is_translator,listed_count,location,media_count,name,normal_followers_count,pinned_tweet_ids,possibly_sensitive,profile_banner_url,profile_image_url,protected,screen_name,statuses_count,translator_type,url,urls,verified,want_retweets
False,True,Mon Nov 30 03:06:23 +0000 2020,True,False,#TigrayGenocide #Abiy_Ahmed_Ali_Of_Ethiopia_Made_Famine #Eritreans_TheWorst_Enemy_OfTigray #Never_Wrong_To_Do_The_Right_Thing #ኣኽሱማዊያን_ኢና_መሓዛ_ቐዳሞት #ኣለና_ብስረና,None,0,10046,1519,677,True,1333245889717014528,False,False,1,,469,Tsgesh Mikeal,1519,1582162234134130688,False,https://pbs.twimg.com/profile_banners/1333245889717014528/1697254118,https://pbs.twimg.com/profile_images/1834282424492326915/LIIJfLht_normal.jpg,False,TsgeshM,8981,none,None,None,False,False
False,True,Sun Apr 06 14:02:00 +0000 2014,True,False,🇪🇹 ☮️🌍,None,0,2170,138,1369,False,2464942648,False,False,0,Ethiopia,1548,kie ቄ 🇪🇹,138,1834252670707609922,False,https://pbs.twimg.com/profile_banners/2464942648/1702887863,https://pbs.twimg.com/profile_images/1736663682933727232/I0lHmj4J_normal.jpg,False,kieEthiopia,4502,none,None,None,False,False
True,False,Thu Oct 22 16:25:55 +0000 2020,True,False,𝐆𝐨 𝐭𝐨 𝐭𝐡𝐞 𝐠𝐲𝐦 bro,None,0,310084,17942,358,True,1319313941189828617,True,False,17,A Shortfall of gravitas ,3898,𝐎𝐧𝐞 𝐍𝐚𝐭𝐢𝐨𝐧,17942,1828596411920691478,False,https://pbs.twimg.com/profile_banners/1319313941189828617/1703601736,https://pbs.twimg.com/profile_images/1588746712687976450/7Z9ZkYZi_normal.jpg,False,natioonn,223962,none,None,None,False,False
False,True,Tue Nov 06 08:10:01 +0000 2012,False,False,Leader & Founder of Ivory Belongs to Elephants campaign walk & KWS Hon- Warden :Youtube: Jim Justus Nyamu,None,0,40191,7623,4968,False,929257814,True,False,51,"Nairobi, Kenya",5489,"Jim Justus Nyamu,Cde',OGW",7623,1789966019680723215,False,https://pbs.twimg.com/profile_banners/929257814/1700301450,https://pbs.twimg.com/profile_images/1726153491620487168/bFY4fjpX_normal.jpg,False,NyamuJim,34910,none,https://t.co/o1VvANQVOr,http://www.elephantcenter.org,False,False
True,True,Sat Jun 13 09:52:31 +0000 2009,False,False,Independent Geopolitical Researcher | Fighting Disinformation & Fake News | Exposing extremism and propaganda | Advocate Freedom,None,0,6838,4770,922,True,46861233,True,False,57,Planet Earth,1616,Jaksona 🇺🇸🇺🇦🇮🇱,4770,1782728840139133152,False,https://pbs.twimg.com/profile_banners/46861233/1710402557,https://pbs.twimg.com/profile_images/1768182551405801472/2ULwHHXT_normal.jpg,False,jaksonhinkle,7068,none,https://t.co/gBYSt5XaPK,https://twitter.com/Jaksonahinklea,False,False
False,True,Fri Dec 18 09:27:43 +0000 2015,False,False,"The Ethiopian News Agency dispatches text news, audio and video stories about local and international events to media enterprises and the public.",None,0,154,324032,0,True,4523222669,False,False,306,Ethiopia,15751,Ethiopia News Agency,324032,None,False,https://pbs.twimg.com/profile_banners/4523222669/1697791604,https://pbs.twimg.com/profile_images/1657017996227796998/JLE69kST_normal.jpg,False,EthiopianNewsA,16250,none,https://t.co/OjqFaEmSIk,http://www.ena.et/,False,False
False,True,Tue Nov 19 04:32:36 +0000 2019,True,False,China Railway Seventh Group Uganda,None,0,0,138,70,False,1196647354130206720,False,False,0,,67,CrsgUganda,138,None,False,https://pbs.twimg.com/profile_banners/1196647354130206720/1586059415,https://pbs.twimg.com/profile_images/1196648199701848065/cixUKnkH_normal.jpg,False,CrsgUganda,88,none,None,None,False,False
False,True,Mon Oct 25 11:30:49 +0000 2010,False,False,"Official Twitter of the Embassy of Israel to Ethiopia, Burundi & the AU. Promoting diplomatic relations, economic growth & friendship.
#BringThemHome 🎗",None,0,2067,20919,1151,True,207465808,True,False,99,"Addis Ababa, Ethiopia",1018,Israel in Ethiopia,20919,None,False,https://pbs.twimg.com/profile_banners/207465808/1720291679,https://pbs.twimg.com/profile_images/1809998875073069056/EDIMAok1_normal.jpg,False,IsraelinET,4023,none,https://t.co/nzUsJA1mrK,http://www.mfa.gov.il,False,False
True,False,Fri Dec 11 22:49:10 +0000 2009,False,False,"The most trusted source of fast, accurate, unbiased news. Follow @GO_Breaking, Telegram: https://t.co/ZEL8f11UrY Email: office@garoweonline.com",https://t.me/garoweonline,0,498,153288,110,False,96224067,True,False,428,,28553,GAROWE ONLINE,153288,1841394072361034209,False,https://pbs.twimg.com/profile_banners/96224067/1681715380,https://pbs.twimg.com/profile_images/1647859801769033732/cVIZgVQc_normal.jpg,False,GaroweOnline,42810,none,https://t.co/vTjjYEGrSL,http://www.garoweonline.com,False,False
False,True,Fri Feb 25 00:40:24 +0000 2022,True,False,Allahu akbaar 👆❤💪,None,0,347,40,233,False,1497008472734404618,False,False,0,,66,finesse2tym,40,1760087975445373323,False,None,https://pbs.twimg.com/profile_images/1756804199999057920/m0viwIDy_normal.jpg,False,TeoReion,780,none,None,None,False,False
True,True,Thu May 11 11:04:17 +0000 2017,True,False,"Commentary and analysis. Philosophy. Funny, mood changes etc. Not financial advice. Always do your own research. Telegram channel: https://t.co/BFT2ax7Hns",http://t.me/MihrThakar,0,134857,95267,1705,True,862624394916626432,True,False,136,"Mombasa, Kenya",9753,Mihr Thakar,95267,1352116228429643777,False,https://pbs.twimg.com/profile_banners/862624394916626432/1727597684,https://pbs.twimg.com/profile_images/1840304163172777984/mLOZddJ8_normal.jpg,False,MihrThakar,120505,none,None,None,False,False
False,False,Thu Apr 13 06:41:31 +0000 2023,True,False,"Muslim, Ghuraba (Stranger), Bachelor of Computer Applications, Bachelor of Laws, MA (Islamic Studies), Law Abiding Human.",None,0,191,57,281,False,1646403077748998145,False,False,0,Qatar,1541,غلام مصطفى الأنصاري,57,1725865931841147314,False,https://pbs.twimg.com/profile_banners/1646403077748998145/1699255730,https://pbs.twimg.com/profile_images/1836814570750447616/1se3O-Jq_normal.jpg,False,timeinqatar,4190,none,None,None,False,False
